pheromone_weight,heuristic_weight,evaporation_rate,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,1.0,0.15,open_33,10,1,1.0,20525.0,2893,209892.84070657962,106.59999999999822,0.4934976162994074
0.5,1.0,0.15,open_33,20,0,1.0,19850.0,2540,188200.0672063306,48.200000000000415,0.5232674966374893
0.5,1.0,0.15,open_33,20,1,1.0,20825.0,2994,217659.62981770327,55.80000000000052,0.4998845469776472
0.5,1.0,0.15,partial_33,2,0,0.9761006289308176,9300.0,3178,242424.00000000003,646.2000000000784,0.450155912490496
0.5,1.0,0.15,partial_33,2,1,0.9723270440251572,9100.0,3156,242424.00000000003,651.8000000000796,0.44954676108899416
0.5,1.0,0.15,partial_33,5,0,0.9974842767295597,9800.0,8699,606060.0,678.4000000000857,0.43017851510838645
0.5,1.0,0.15,partial_33,5,1,0.9522012578616352,8575.0,8880,606060.0,675.500000000085,0.40188827607780897
0.5,1.0,0.15,partial_33,10,0,1.0,13750.0,2686,205186.1256125921,107.19999999999818,0.5365162537010607
0.5,1.0,0.15,partial_33,10,1,1.0,14825.0,3564,257516.4557312252,134.29999999999666,0.5002533907986622
0.5,1.0,0.15,partial_33,20,0,1.0,15700.0,2974,225534.9532267768,59.400000000000574,0.5128601146420712
0.5,1.0,0.15,partial_33,20,1,1.0,14850.0,3031,222235.28703612648,58.100000000000556,0.5249441681909753
0.5,1.0,0.15,closed_33,2,0,0.8096885813148789,2975.0,2782,242424.00000000003,665.8000000000828,0.3466794309880815
0.5,1.0,0.15,closed_33,2,1,0.6211072664359861,0.0,2880,242424.00000000003,689.0000000000881,0.2099138253876516
0.5,1.0,0.15,closed_33,5,0,0.9532871972318339,5025.0,5970,606060.0,711.3000000000932,0.42986636614407725
0.5,1.0,0.15,closed_33,5,1,1.0,8650.0,4087,333551.11641625944,364.00000000001427,0.478089214010955
0.5,1.0,0.15,closed_33,10,0,0.9982698961937716,8125.0,10961,1212120.0,723.600000000096,0.4001429307460649
0.5,1.0,0.15,closed_33,10,1,0.9429065743944637,7400.0,13074,1212120.0,709.9000000000929,0.35683419868871147
0.5,1.0,0.15,closed_33,20,0,1.0,10675.0,3737,305713.10546654277,83.29999999999954,0.50034367810759
0.5,1.0,0.15,closed_33,20,1,1.0,10075.0,3514,309855.0238782563,85.59999999999941,0.5147436027609449
0.5,1.0,0.3,open_33,2,0,1.0,14800.0,3060,226041.36035226192,578.3000000000629,0.45220797835354776
0.5,1.0,0.3,open_33,2,1,1.0,14900.0,2950,220686.55189829879,561.9000000000592,0.4561664355634071
0.5,1.0,0.3,open_33,5,0,1.0,19725.0,3094,229082.91632258613,233.09999999999104,0.47019332962761956
0.5,1.0,0.3,open_33,5,1,1.0,16625.0,2661,201740.32094525942,206.39999999999256,0.5239191626434572
0.5,1.0,0.3,open_33,10,0,1.0,19450.0,2609,200378.58867036784,102.39999999999846,0.5140058218346555
0.5,1.0,0.3,open_33,10,1,1.0,20525.0,2893,209892.84070657962,106.59999999999822,0.4934976162994074
0.5,1.0,0.3,open_33,20,0,1.0,19850.0,2540,188200.0672063306,48.200000000000415,0.5232674966374893
0.5,1.0,0.3,open_33,20,1,1.0,20825.0,2994,217659.62981770327,55.80000000000052,0.4998845469776472
0.5,1.0,0.3,partial_33,2,0,0.9761006289308176,9300.0,3178,242424.00000000003,646.2000000000784,0.450155912490496
0.5,1.0,0.3,partial_33,2,1,0.9723270440251572,9100.0,3156,242424.00000000003,651.8000000000796,0.44954676108899416
0.5,1.0,0.3,partial_33,5,0,0.9974842767295597,9800.0,8699,606060.0,678.4000000000857,0.43017851510838645
0.5,1.0,0.3,partial_33,5,1,0.9522012578616352,8575.0,8880,606060.0,675.500000000085,0.40188827607780897
0.5,1.0,0.3,partial_33,10,0,1.0,13750.0,2686,205186.1256125921,107.19999999999818,0.5365162537010607
0.5,1.0,0.3,partial_33,10,1,1.0,14825.0,3564,257516.4557312252,134.29999999999666,0.5002533907986622
0.5,1.0,0.3,partial_33,20,0,1.0,15700.0,2974,225534.9532267768,59.400000000000574,0.5128601146420712
0.5,1.0,0.3,partial_33,20,1,1.0,14850.0,3031,222235.28703612648,58.100000000000556,0.5249441681909753
0.5,1.0,0.3,closed_33,2,0,0.8096885813148789,2975.0,2782,242424.00000000003,665.8000000000828,0.3466794309880815
0.5,1.0,0.3,closed_33,2,1,0.6211072664359861,0.0,2880,242424.00000000003,689.0000000000881,0.2099138253876516
0.5,1.0,0.3,closed_33,5,0,0.9532871972318339,5025.0,5970,606060.0,711.3000000000932,0.42986636614407725
0.5,1.0,0.3,closed_33,5,1,1.0,8650.0,4087,333551.11641625944,364.00000000001427,0.478089214010955
0.5,1.0,0.3,closed_33,10,0,0.9982698961937716,8125.0,10961,1212120.0,723.600000000096,0.4001429307460649
0.5,1.0,0.3,closed_33,10,1,0.9429065743944637,7400.0,13074,1212120.0,709.9000000000929,0.35683419868871147
0.5,1.0,0.3,closed_33,20,0,1.0,10675.0,3737,305713.10546654277,83.29999999999954,0.50034367810759
0.5,1.0,0.3,closed_33,20,1,1.0,10075.0,3514,309855.0238782563,85.59999999999941,0.5147436027609449
0.5,2.0,0.05,open_33,2,0,1.0,12475.0,2178,176305.84098588245,447.3000000000332,0.5310203003757146
0.5,2.0,0.05,open_33,2,1,1.0,11750.0,2145,174135.0078566774,440.00000000003155,0.5423426373652147
0.5,2.0,0.05,open_33,5,0,1.0,17175.0,2560,196105.7957815755,198.99999999999298,0.5206774530561714
0.5,2.0,0.05,open_33,5,1,1.0,18025.0,2780,207110.6225635485,209.99999999999235,0.5026254977839446
0.5,2.0,0.05,open_33,10,0,1.0,19650.0,2637,194800.51499608275,98.29999999999869,0.5115446906862612
0.5,2.0,0.05,open_33,10,1,1.0,18550.0,2477,189664.66280990792,96.19999999999881,0.5296214504091823
0.5,2.0,0.05,open_33,20,0,1.0,19275.0,2618,196881.8899018634,50.80000000000045,0.5281355515548382
0.5,2.0,0.05,open_33,20,1,1.0,18150.0,2375,181490.47473853175,46.9000000000004,0.5489681272483987
0.5,2.0,0.05,partial_33,2,0,1.0,10550.0,2182,181608.7474851458,470.70000000003853,0.512660272331082
0.5,2.0,0.05,partial_33,2,1,0.979874213836478,8825.0,3196,242424.00000000003,648.0000000000788,0.4610146750524109
0.5,2.0,0.05,partial_33,5,0,1.0,12650.0,2604,201916.4581502038,210.19999999999234,0.5311008295056043
0.5,2.0,0.05,partial_33,5,1,0.9987421383647799,13250.0,8914,606060.0,676.5000000000853,0.37883415869165804
0.5,2.0,0.05,partial_33,10,0,0.9974842767295597,15075.0,17966,1212120.0,690.4000000000884,0.33817457515570726
0.5,2.0,0.05,partial_33,10,1,0.9937106918238994,13200.0,17936,1212120.0,683.0000000000867,0.362677164296505
0.5,2.0,0.05,partial_33,20,0,1.0,13775.0,2798,207898.20084318798,54.3000000000005,0.5460672619252883
0.5,2.0,0.05,partial_33,20,1,1.0,13150.0,2209,175362.75109780347,45.80000000000038,0.5704548674057854
0.5,2.0,0.05,closed_33,2,0,0.6401384083044983,75.0,2317,242424.00000000003,694.1000000000893,0.23544688159931623
0.5,2.0,0.05,closed_33,2,1,0.5155709342560554,2375.0,2624,242424.00000000003,683.2000000000868,0.052414013880303506
0.5,2.0,0.05,closed_33,5,0,0.9429065743944637,3225.0,5959,606060.0,704.1000000000915,0.45664548903274504
0.5,2.0,0.05,closed_33,5,1,0.9982698961937716,7075.0,6708,606060.0,706.4000000000921,0.4307007916547593
0.5,2.0,0.05,closed_33,10,0,0.9826989619377162,9775.0,9827,1212120.0,723.1000000000959,0.35170583741518
0.5,2.0,0.05,closed_33,10,1,0.9913494809688581,11000.0,12862,1212120.0,710.0000000000929,0.3313262726954951
0.5,2.0,0.05,closed_33,20,0,1.0,9425.0,2264,195930.4785061353,52.90000000000048,0.5536644276959654
0.5,2.0,0.05,closed_33,20,1,1.0,10800.0,2940,267259.19138085237,73.5000000000001,0.5091437062617871
0.5,2.0,0.15,open_33,2,0,1.0,12475.0,2178,176305.84098588245,447.3000000000332,0.5310203003757146
0.5,2.0,0.15,open_33,2,1,1.0,11750.0,2145,174135.0078566774,440.00000000003155,0.5423426373652147
0.5,2.0,0.15,open_33,5,0,1.0,17175.0,2560,196105.7957815755,198.99999999999298,0.5206774530561714
0.5,2.0,0.15,open_33,5,1,1.0,18025.0,2780,207110.6225635485,209.99999999999235,0.5026254977839446
0.5,2.0,0.15,open_33,10,0,1.0,19650.0,2637,194800.51499608275,98.29999999999869,0.5115446906862612
0.5,2.0,0.15,open_33,10,1,1.0,18550.0,2477,189664.66280990792,96.19999999999881,0.5296214504091823
0.5,2.0,0.15,open_33,20,0,1.0,19275.0,2618,196881.8899018634,50.80000000000045,0.5281355515548382
0.5,2.0,0.15,open_33,20,1,1.0,18150.0,2375,181490.47473853175,46.9000000000004,0.5489681272483987
0.5,2.0,0.15,partial_33,2,0,1.0,10550.0,2182,181608.7474851458,470.70000000003853,0.512660272331082
